No source,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
2.85,,18.4,19.6,11.3,19.8,19.7,13.7,0,0,0,0,0,,14.9,17.7,24.2,22,21.5,15.4,0,0,0,0,0,,11.6,12.3,8.9,13.3,13,10.7,0,0,0,0,0
2.9,,48.2,54.9,40.8,44.2,46.3,33,0,0,0,0,0,,35.7,44,45.4,39.2,45.8,30.3,0,0,0,0,0,,30.8,39.8,33.6,34.1,34.2,24.7,0,0,0,0,0
2.95,,81,77.6,59.9,66,62.5,50.6,0,0,0,0,0,,66.1,67.6,65.3,62.9,56.6,45.8,0,0,0,0,0,,63.1,62.9,54.2,57.7,53.4,42.8,0,0,0,0,0
3,,113,119.7,83.9,113.6,97,74.9,0,0,0,0,0,,92.5,92.2,94.4,176.8,88.5,73.6,0,0,0,0,0,,88.1,86.1,75.9,93.8,77.4,66.2,0,0,0,0,0
3.05,,195.4,187.3,145,168.2,154.6,130.3,0,0,0,0,0,,141.7,141.9,144.8,144,138.6,111.4,0,0,0,0,0,,136.3,135,123.3,133.9,126.3,100.4,0,0,0,0,0
3.1,,267.9,246,206.1,192,178.5,165,0,0,0,0,0,,217.9,207.9,195.8,175.2,162,149.8,0,0,0,0,0,,213.2,205.3,186.2,171,161,143.3,0,0,0,0,0
3.15,,283.7,259,231.7,218.1,194.1,182.9,0,0,0,0,0,,259.7,241.5,226.5,209.7,190.5,170.2,0,0,0,0,0,,257.1,239.9,221.9,207.9,188.5,169,0,0,0,0,0
3.2,,302.3,274.2,246.9,217.2,193.5,186.2,0,0,0,0,0,,288.1,264.3,242.9,214.9,196.4,181,0,0,0,0,0,,287.4,263.9,240.1,214.1,192.4,181.9,0,0,0,0,0
3.25,,315.3,282.9,241.8,217,206.9,186.2,0,0,0,0,0,,301.8,275.4,240.8,214.4,210.6,182.4,0,0,0,0,0,,301.8,274.9,240.3,213.9,204.1,183,0,0,0,0,0
3.3,,316.5,280.8,244.1,232.4,200.1,199.4,0,0,0,0,0,,309.5,274.9,244.3,229.4,196.5,200.3,0,0,0,0,0,,308.7,274.8,242.7,229.2,201,197,0,0,0,0,0
3.35,,318.5,286.6,229.2,216.6,204.1,189.2,0,0,0,0,0,,309.4,283.2,230.2,216.3,201.8,194.5,0,0,0,0,0,,306.4,283.6,229.8,215.4,204.4,186.6,0,0,0,0,0
3.4,,329.6,287.7,247.9,228.4,196.4,201.5,0,0,0,0,0,,322.1,283.8,249,225.6,204.7,197.6,0,0,0,0,0,,319.5,283,247.8,225.8,199.1,196.9,0,0,0,0,0
3.45,,328.5,285.7,240.4,226.2,209.9,200.9,0,0,0,0,0,,322.4,280.1,241.6,226.1,209.9,196.6,0,0,0,0,0,,318.8,281,240.3,225.9,211.1,197,0,0,0,0,0
3.5,,330.2,294.8,252.1,228.5,213.5,198.6,0,0,0,0,0,,327.1,291.7,253.7,230.1,214.8,187.4,0,0,0,0,0,,322.5,290.7,252.2,229.1,217,191.8,0,0,0,0,0
3.55,,334.4,292.3,246.8,221.3,207.9,211.9,0,0,0,0,0,,327.2,290,246.8,224.9,215.9,201.2,0,0,0,0,0,,321.3,290.5,246.3,223.6,206.4,199.1,0,0,0,0,0
3.6,,335.2,288.1,253.2,223,216.9,227,0,0,0,0,0,,328.8,284.9,257.9,227.5,219.3,212.6,0,0,0,0,0,,320.9,284.1,254.9,226,215.2,212.2,0,0,0,0,0
3.65,,362.1,284.1,246.5,231.3,204,218,0,0,0,0,0,,354.5,282.5,255.9,241,220.4,207.2,0,0,0,0,0,,341.5,281.3,245.5,231,208.7,203.5,0,0,0,0,0
3.7,,367.6,291.9,244.9,239.2,206.4,168.2,0,0,0,0,0,,348.5,298.4,263.3,252.1,227.8,60.6,0,0,0,0,0,,327.8,289.2,248.2,235.2,204.3,185.6,0,0,0,0,0
3.75,,405.2,304.2,261.4,268.4,224.4,-40.7,0,0,0,0,0,,391.6,308.7,281.1,274.2,257.9,57.2,0,0,0,0,0,,351.5,294.6,250.6,248.2,216.3,137.9,0,0,0,0,0
3.8,,415,312,292.6,309.7,278.8,196.2,0,0,0,0,0,,399.7,342.5,337,354.2,314.7,236.2,0,0,0,0,0,,335.5,293.2,270.9,272.9,244.6,215.3,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 2_2,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,-0.6,-1.5,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,-0.3,0,-0.1,0,0.2,0.1,0,0,0,0,0,,0,0,-0.1,0.1,-0.9,-3.8,0,0,0,0,0,,0,0,-0.1,0.1,0,0,0,0,0,0,0
2.5,,0,0,0.1,0,0.1,0.1,0,0,0,0,0,,0,0,0.1,0,-0.9,-3,0,0,0,0,0,,0,0,0.1,0,0,0,0,0,0,0,0
2.6,,-0.1,0,0,0,0.4,0.3,0,0,0,0,0,,0.1,0,0,0,-1.1,0.4,0,0,0,0,0,,0.1,0,0,0,-0.2,0,0,0,0,0,0
2.7,,1.4,0.5,0.3,1.5,2.4,1.4,0,0,0,0,0,,1.1,0.8,0.9,1.7,-3.4,3.2,0,0,0,0,0,,0.9,0.3,0.1,0.3,1.1,0.8,0,0,0,0,0
2.8,,8.1,5.5,6,5.6,9.8,6.5,0,0,0,0,0,,6.6,5.2,8.2,10.9,18,13.8,0,0,0,0,0,,5.1,4,4.8,4.7,7.6,5.3,0,0,0,0,0
2.85,,18.3,14.1,0.3,14.2,27.3,18.8,0,0,0,0,0,,14.4,11,21,24.9,32.9,26.2,0,0,0,0,0,,10.3,9,11.2,12.1,22.5,14.1,0,0,0,0,0
2.9,,46,44.5,33.6,39.6,44.7,39.1,0,0,0,0,0,,30.1,28,37.4,41.2,45.2,45.5,0,0,0,0,0,,26.9,25.9,28.1,31.4,39.2,33.2,0,0,0,0,0
2.95,,79.3,67.6,54.1,54.2,60.9,53.8,0,0,0,0,0,,59.1,52,57,57.5,66.1,60.3,0,0,0,0,0,,56.4,50.4,48.8,49.9,54.5,46.5,0,0,0,0,0
3,,103,92.9,74.5,75.9,101.3,79.3,0,0,0,0,0,,80.3,70.7,82.3,84.8,104.9,94.5,0,0,0,0,0,,78.8,69.1,66.8,65.9,84.8,67.6,0,0,0,0,0
3.05,,187.4,168.3,127.4,150.5,154.3,136.2,0,0,0,0,0,,118.7,110.9,130.7,147.4,145.8,130.4,0,0,0,0,0,,117.3,107,107.8,125.5,137.5,113,0,0,0,0,0
3.1,,258.9,232,198.9,189.2,164.2,168.9,0,0,0,0,0,,191.9,173.9,190.3,179,157.3,158.6,0,0,0,0,0,,188.2,170.3,176.4,172.4,156.4,151.9,0,0,0,0,0
3.15,,301.7,254,220,202.6,188.5,187.9,0,0,0,0,0,,259.7,220.5,215.1,199.2,188,183.8,0,0,0,0,0,,258.1,218.9,210.3,196.7,185.4,176.4,0,0,0,0,0
3.2,,294.3,266.2,228.7,210.6,194,199.2,0,0,0,0,0,,278.1,252.3,226.4,210.2,193.3,199,0,0,0,0,0,,277.4,251.9,224.4,208.4,195.5,191.5,0,0,0,0,0
3.25,,302.3,268.9,235.5,220.1,199.8,199.1,0,0,0,0,0,,288.8,262.4,234.5,221.7,201.4,200.1,0,0,0,0,0,,288.8,260.9,233.6,218.4,199.6,190.9,0,0,0,0,0
3.3,,311.5,269.8,232.6,221.9,199.5,209.4,0,0,0,0,0,,300.5,265.9,233.1,222.8,196.8,209,0,0,0,0,0,,300.7,264.8,232,220.6,198.9,198.2,0,0,0,0,0
3.35,,326.5,272.6,232.5,217.2,199.1,211.2,0,0,0,0,0,,317.4,269.2,233.3,220,202.2,214.8,0,0,0,0,0,,317.4,264.6,233.2,217.7,201.4,200.7,0,0,0,0,0
3.4,,322.6,271.7,228.7,218.4,197.4,224,0,0,0,0,0,,315.1,269.8,229.2,220.1,202.3,219.4,0,0,0,0,0,,314.5,262,229.1,217.4,199.4,204.1,0,0,0,0,0
3.45,,326.5,277.7,240.2,219.6,213.2,238.1,0,0,0,0,0,,318.4,275.1,241.6,223.5,206.9,228.3,0,0,0,0,0,,318.8,256,241,221.5,205.6,211.4,0,0,0,0,0
3.5,,327.2,277.8,251.6,224.1,208.6,278,0,0,0,0,0,,315.1,275.7,252,228.9,205,244.9,0,0,0,0,0,,314.5,247.7,251.3,225.3,202.8,228.5,0,0,0,0,0
3.55,,327.4,285.3,247.5,226.2,213.5,375.8,0,0,0,0,0,,313.2,283,246.5,232.7,208.3,299.9,0,0,0,0,0,,313.3,237.5,247.1,228.9,203.5,275.2,0,0,0,0,0
3.6,,330.2,284.1,236.9,221.1,219.2,343.6,0,0,0,0,0,,315.8,282.9,241.2,229,215.7,281.4,0,0,0,0,0,,315.9,217.1,240.1,224.6,211.4,254.5,0,0,0,0,0
3.65,,328.1,279.1,243.8,213,229.5,419.8,0,0,0,0,0,,316.5,278.5,246.4,225,229.9,326.3,0,0,0,0,0,,314.5,201.3,243.1,215.8,214.3,290.7,0,0,0,0,0
3.7,,334.6,289.9,243.5,229.5,246.4,409.7,0,0,0,0,0,,325.5,290.4,255.1,242.4,240.7,218.5,0,0,0,0,0,,316.8,270.2,246.1,228.7,226.6,308.3,0,0,0,0,0
3.75,,351.2,285.2,255.3,237.2,255.3,179.4,0,0,0,0,0,,337.6,294.7,267.5,252.1,257.6,222.2,0,0,0,0,0,,320.5,173.6,249.1,229.6,222.5,265.9,0,0,0,0,0
3.8,,347,294,265.9,231.3,265.3,740.5,0,0,0,0,0,,333.7,319.5,293.6,270.3,304.2,558.8,0,0,0,0,0,,311.5,152.2,252.6,219.9,226,470.3,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 3_1,,ALCT,,,,,,,,,,,,CLCT,,,,,,,,,,,,LCT,,,,,,,,,,
Voltage (kV),,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1 ,run2,run3,run4,run5,run6,run7,run8,run9,run10,,run0,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.85,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.9,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
2.95,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.05,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.1,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.15,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.2,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.25,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.3,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.35,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.4,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.45,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.5,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.55,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.6,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.65,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.7,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.75,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3.8,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
